,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
110,106.320145,90.89609,-3.018445,17.68879,4.410029,9.352114,0.9168539,7.6449795,1.3125784,1.1390499,2.579875,0.15943749,-0.65093935,1
111,112.388245,86.88869,-2.6683779,18.818253,0.6090801,10.451815,2.5617075,7.1763835,1.562186,2.6299772,1.6284108,1.8014569,1.3478556,1
112,125.504,69.60746,-6.870904,19.471554,-0.16153646,11.733983,3.1868718,6.7304783,3.7607844,3.340236,3.044033,3.2600284,3.1855102,1
113,102.01393,104.5653,-5.0898743,21.62941,3.824984,11.677285,0.62848884,3.4746623,0.43932104,2.2440765,0.5424495,0.49118268,0.41764373,1
114,122.34383,70.33496,-7.716037,14.039385,-3.191711,8.335577,-0.10798055,5.772075,1.9335421,3.9924164,3.4211907,4.30801,3.365405,1
115,122.097855,69.513535,-6.2172604,17.259678,-0.588427,8.578022,4.167364,6.158828,3.7026668,3.9191785,2.7604449,4.4146147,1.816767,1
116,92.9088,90.9639,-1.9812592,23.491053,4.4561887,12.671815,5.4283705,5.9575844,3.1379967,3.1160283,2.2154632,1.2226493,0.62209547,1
117,110.51277,90.66732,-9.655658,18.750996,-1.036536,7.948269,1.1715139,2.1973,1.1686593,2.9484553,0.017141953,0.7396412,1.8508534,1
118,131.44638,66.25493,-6.479314,16.203136,-4.2637825,8.86289,2.985746,10.509437,4.7163715,6.169592,4.7133512,4.283058,4.2776356,1
119,112.36234,67.49564,-10.895676,21.435692,1.2198542,15.510662,6.7272253,7.0740623,8.976543,5.903144,2.8331585,3.1255827,4.290066,1
120,123.908516,79.61722,-4.5911026,13.657283,-2.6170444,11.350402,1.2205658,6.966717,2.4324045,2.7636404,1.917845,0.8091452,1.5772359,1
121,115.44926,77.95415,-8.7310915,18.733978,5.564457,11.7038,4.129621,7.9894876,4.8673177,3.1700203,3.3759422,5.171195,2.8037248,1
122,101.53944,86.009094,1.6908875,23.218243,3.722061,12.607002,1.4123303,4.3351393,1.1816692,1.7272286,0.4842471,0.89904255,1.0136745,1
123,89.5088,87.85928,-2.4081101,23.230022,4.6546273,9.660555,4.0508366,6.2807474,2.1271234,2.898394,1.3045616,2.9501405,3.175632,1
124,98.141846,81.81257,-5.9925795,15.169529,-1.291917,10.347021,3.3370495,6.5206842,4.6379337,5.5797834,4.936056,3.6030095,3.5936108,1
125,120.6156,82.42088,-4.4898653,21.32723,0.34802172,12.108915,1.6567144,6.4090824,4.8568187,3.4603221,4.1586103,2.7077403,2.8139873,1
126,124.600235,73.09786,0.97118926,18.980457,-0.8612457,10.5191345,1.6641192,7.4018097,3.8048048,4.2658925,2.3970182,3.5082195,3.470365,1
127,128.737,58.612095,-6.9561625,14.691845,-1.7878768,11.202324,2.911122,5.7068567,0.92128766,2.3056746,0.51475763,1.1027455,0.82812464,1
128,107.15029,90.172455,-7.3608136,18.069319,-0.46940786,9.281998,0.6285401,3.6595454,2.261726,1.8916391,-0.5758274,1.5794013,2.184064,1
129,85.21294,101.853424,1.6533731,25.220604,3.4389238,10.198006,0.58952165,3.917188,-0.15755907,0.90576535,-0.38880268,-0.32216495,-1.1627777,1
130,115.44789,85.03024,-7.910014,15.665823,3.0179348,10.350175,4.252674,7.9985914,3.0750506,7.660474,4.676693,4.3244123,2.0027494,1
131,112.43942,82.26041,-9.845999,20.485886,3.0875835,9.590928,0.8952106,3.757329,2.6560485,1.5568485,1.1213124,1.0670455,0.31006896,1
132,121.739655,76.994415,-5.000208,14.864575,-2.173551,11.363167,3.4474046,4.883212,2.2199779,2.084782,2.5746815,3.4298239,2.892445,1
133,97.53031,78.5594,-0.94192904,18.87262,1.8970753,14.087959,3.7538185,8.085851,2.9212132,1.1351867,-1.375689,-1.0129527,0.77288866,1
134,111.960175,95.325455,-10.328075,17.304396,0.46485823,9.2593155,2.42733,4.316288,3.3231664,3.958366,2.8298135,3.223152,2.5953245,1
135,130.37433,66.321304,-1.3074205,15.134096,-0.98305523,10.975262,3.1396852,7.121361,1.5040076,3.0133038,1.9340382,3.1809669,3.6006687,1
136,107.829605,85.37342,-5.0652056,17.703451,-1.4652481,7.536659,-0.79511327,4.269165,2.0586462,2.2973962,2.7301307,2.5144863,3.570266,1
137,98.74924,58.769554,10.304798,20.225292,-0.45934752,13.50952,1.303287,4.3255005,-0.34085572,1.1322696,-2.0654826,0.724632,-0.813841,1
138,94.95576,90.49779,-1.3744179,24.43766,6.8303246,10.931814,3.3046536,5.5490255,2.3387332,4.2213717,1.5776743,2.5475178,2.2086234,1
139,92.07322,103.758835,-8.786386,18.287878,3.9579468,9.503512,4.4362264,5.912497,3.3033402,3.0899286,2.4438314,2.6032305,1.3495829,1
140,126.36771,64.340515,0.9855626,15.988221,0.56243646,9.709379,-1.6053449,4.4145126,2.8399134,3.842956,3.162737,4.3158693,2.1134756,1
141,130.7337,64.19207,-9.531444,13.556688,-0.831715,10.726882,1.1475741,5.1667047,1.6347375,1.7755967,1.796096,1.6257408,1.8632109,1
142,128.14328,60.823288,2.6135168,17.912617,-0.88518244,10.210696,1.1083633,6.293585,5.5470076,5.8109336,3.1861117,2.466434,1.0826272,1
143,101.290146,95.11964,-1.8617487,19.026745,-0.1628823,12.289417,4.1450825,7.958545,3.6300035,2.180838,-0.16810471,0.3725577,0.3351763,1
144,106.04173,72.87153,-3.5111704,23.78095,0.09674791,12.365703,4.239334,4.405646,3.3311892,2.7273505,3.3576117,3.557014,3.6587505,1
145,127.602615,71.04846,-8.44127,14.338486,-1.3658442,10.790804,3.7098672,7.174895,0.5897057,3.8649755,0.8272116,1.0877135,2.4092064,1
146,117.57306,73.76901,-4.4177275,17.367523,-1.3136306,9.638524,2.2019677,5.2202616,1.4162949,0.7580964,0.11355402,0.09661054,0.51736134,1
147,106.17864,76.39365,2.4107964,21.96384,1.969898,10.209505,1.519202,5.5482864,1.7819247,3.1473508,2.281338,3.2183654,3.121171,1
148,121.21416,81.09503,-14.016899,14.932564,-0.99483013,8.27065,1.437387,2.9559324,-0.37874722,1.7517393,0.68555796,1.9142402,0.4275294,1
149,120.62225,80.02936,1.6310147,19.274742,-2.7189896,12.013125,3.3469267,7.3111057,3.3358052,3.492645,1.2139044,1.5907145,1.2832263,1
150,123.03254,77.240555,-3.9640594,15.222995,-1.1537979,11.950741,4.3054323,6.809619,2.6124783,3.6907785,0.7825177,0.20934932,-0.48332906,1
151,129.35477,75.57025,-7.9645386,11.632145,-3.443983,7.613731,-0.3700064,5.5994167,1.3119545,1.8640642,0.7057556,0.86658883,0.78650117,1
152,117.812195,88.33552,-2.880165,15.842949,-1.1052549,8.540306,0.50007015,4.3380985,1.3958138,3.2390203,1.1461087,3.1288753,2.3167052,1
153,128.48663,70.28641,-1.1761891,14.626373,-2.8750563,10.389488,2.2582836,6.393669,1.8662784,6.6997766,2.7351794,3.9061613,1.7570949,1
154,100.65504,87.7841,-12.259542,14.872725,0.8094907,11.767876,6.45756,9.259432,2.9250283,0.38809466,-0.95371234,1.9138544,4.633958,1
155,119.03674,78.971176,-3.8218665,20.218494,1.2740171,13.54526,3.854124,7.240714,2.073493,3.3176517,2.615992,1.936949,1.3478487,1
156,130.9165,75.363434,-19.998285,8.33873,-7.2646446,2.100069,-4.7289295,-0.8227768,-1.6220868,-0.89132506,-1.5420355,-0.5889656,-0.34431165,1
